"id","iso_639_1","iso_639_2","iso_639_3","rfc_3066","english_name","english_name_locale","english_name_modifier","native_name","native_name_locale","native_name_modifier","macro_language","direction","pluralization","scope"
3981,"mk","mkd","mkd",,"Macedonian",,,"Македонски",,,0,"ltr",,"L"
4009,"mg","mlg","mlg",,"Malagasy",,,,,,1,"ltr",,"L"
4022,"mt","mlt","mlt",,"Maltese",,,"Malti",,,0,"ltr",,"L"
4091,"mo","mol","mol",,"Moldavian",,,,,,0,"ltr",,"L"
4093,"mn","mon","mon",,"Mongolian",,,,,,1,"ltr",,"L"
4166,"mi","mri","mri",,"Maori",,,,,,0,"ltr",,"L"
4184,"ms","msa","msa",,"Malay","generic",,"Bahasa melayu",,,1,"ltr",,"L"
4338,"my","mya","mya",,"Burmese",,,,,,0,"ltr",,"L"
4406,"na","nau","nau",,"Nauru",,,,,,0,"ltr",,"L"
4407,"nv","nav","nav",,"Navajo",,,,,,0,"ltr",,"L"
4423,"nr","nbl","nbl",,"Ndebele",,"South",,,,0,"ltr",,"L"
4463,"nd","nde","nde",,"Ndebele",,"North",,,,0,"ltr",,"L"
4473,"ng","ndo","ndo",,"Ndonga",,,,,,0,"ltr",,"L"
4499,"ne","nep","nep",,"Nepali",,,,,,0,"ltr",,"L"
4628,"nl","nld","nld",,"Dutch",,,"Nederlands",,,0,"ltr","c == 1 ? 1 : 2","L"
4682,"nn","nno","nno",,"Norwegian Nynorsk",,,,,,0,"ltr",,"L"
4695,"nb","nob","nob",,"Norwegian Bokmål",,,,,,0,"ltr",,"L"
4709,"no","nor","nor",,"Norwegian",,,"Norsk",,,1,"ltr","c == 1 ? 1 : 2","L"
4821,"ny","nya","nya",,"Chichewa; Nyanja",,,,,,0,"ltr",,"L"
4867,"oc","oci","oci",,"Occitan","post 1500",,,,,1,"ltr",,"L"
4891,"oj","oji","oji",,"Ojibwa",,,,,,1,"ltr",,"L"
4965,"or","ori","ori",,"Oriya",,,,,,0,"ltr",,"L"
4967,"om","orm","orm",,"Oromo",,,,,,1,"ltr",,"L"
4984,"os","oss","oss",,"Ossetian; Ossetic",,,,,,0,"ltr",,"L"
5031,"pa","pan","pan",,"Panjabi",,,,,,0,"ltr",,"L"
5176,"pi","pli","pli",,"Pali",,,,,,0,"ltr",,"A"
5244,"pl","pol","pol",,"Polish",,,"Polski",,,0,"ltr","c==1 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
5250,"pt","por","por",,"Portuguese",,,"português",,,0,"ltr","c == 1 ? 1 : 2","L"
5343,"ps","pus","pus",,"Pushto",,,"پښتو",,,1,"ltr",,"L"
5368,"qu","que","que",,"Quechua",,,,,,1,"ltr",,"L"
5525,"rm","roh","roh",,"Raeto-Romance",,,,,,0,"ltr",,"L"
5528,"ro","ron","ron",,"Romanian",,,"Română",,,0,"ltr",,"L"
5552,"rn","run","run",,"Rundi",,,"Kirundi",,,0,"ltr",,"L"
5556,"ru","rus","rus",,"Russian",,,"Pyccĸий",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
5576,"sg","sag","sag",,"Sango",,,,,,0,"ltr",,"L"
5581,"sa","san","san",,"Sanskrit",,,,,,0,"ltr",,"A"
5738,"si","sin","sin",,"Sinhalese",,,,,,0,"ltr",,"L"
5800,"sk","slk","slk",,"Slovak",,,"Slovenčina",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
5810,"sl","slv","slv",,"Slovenian",,,"Slovenščina",,,0,"ltr","c%100==1 ? 1 : c%100==2 ? 2 : c%100==3 || c%100==4 ? 3 : 4","L"
5819,"se","sme","sme",,"Northern Sami",,,,,,0,"ltr",,"L"
5828,"sm","smo","smo",,"Samoan",,,,,,0,"ltr",,"L"
5840,"sn","sna","sna",,"Shona",,,,,,0,"ltr",,"L"
5843,"sd","snd","snd",,"Sindhi",,,,,,0,"ltr",,"L"
5876,"so","som","som",,"Somali",,,"Somali",,,0,"ltr",,"L"
5882,"st","sot","sot",,"Sotho",,"Southern",,,,0,"ltr",,"L"
5889,"es","spa","spa",,"Spanish",,,"Español",,,0,"ltr","c == 1 ? 1 : 2","L"
5910,"sq","sqi","sqi",,"Albanian",,,"shqip",,,1,"ltr",,"L"
5921,"sc","srd","srd",,"Sardinian",,,,,,1,"ltr",,"L"
5933,"sr","srp","srp",,"Serbian",,,"Srpski",,,0,"ltr",,"L"
5964,"ss","ssw","ssw",,"Swati",,,,,,0,"ltr",,"L"
6002,"su","sun","sun",,"Sundanese",,,,,,0,"ltr",,"L"
6021,"sw","swa","swa",,"Swahili","generic",,"Kiswahili",,,1,"ltr",,"L"
6024,"sv","swe","swe",,"Swedish",,,"svenska",,,0,"ltr","c == 1 ? 1 : 2","L"
6086,"ty","tah","tah",,"Tahitian",,,,,,0,"ltr",,"L"
6090,"ta","tam","tam",,"Tamil",,,,,,0,"ltr",,"L"
6097,"tt","tat","tat",,"Tatar",,,,,,0,"ltr",,"L"
6182,"te","tel","tel",,"Telugu",,,"తెలుగు",,,0,"ltr",,"L"
6210,"tg","tgk","tgk",,"Tajik",,,,,,0,"ltr",,"L"
6211,"tl","tgl","tgl",,"Tagalog",,,,,,0,"ltr",,"L"
6223,"th","tha","tha",,"Thai",,,"ภาษาไทย",,,0,"ltr",,"L"
6260,"ti","tir","tir",,"Tigrinya",,,,,,0,"ltr",,"L"
6383,"to","ton","ton",,"Tonga","Tonga Islands",,,,,0,"ltr",,"L"
6466,"tn","tsn","tsn",,"Tswana",,,,,,0,"ltr",,"L"
6467,"ts","tso","tso",,"Tsonga",,,,,,0,"ltr",,"L"
6513,"tk","tuk","tuk",,"Turkmen",,,,,,0,"ltr",,"L"
6519,"tr","tur","tur",,"Turkish",,,"Tϋrkçe",,,0,"ltr","c = 1","L"
6546,"tw","twi","twi",,"Twi",,,,,,0,"ltr",,"L"
6630,"ug","uig","uig",,"Uighur",,,,,,0,"ltr",,"L"
6640,"uk","ukr","ukr",,"Ukrainian",,,"Українська",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
6679,"ur","urd","urd",,"Urdu",,,"اردو",,,0,"ltr",,"L"
6719,"uz","uzb","uzb",,"Uzbek",,,"o'zbek",,,1,"ltr",,"L"
6744,"ve","ven","ven",,"Venda",,,,,,0,"ltr",,"L"
6751,"vi","vie","vie",,"Vietnamese",,,"Tiếng Việt",,,0,"ltr",,"L"
6800,"vo","vol","vol",,"Volapük",,,,,,0,"ltr",,"C"
6911,"wa","wln","wln",,"Walloon",,,,,,0,"ltr",,"L"
6952,"wo","wol","wol",,"Wolof",,,"Wolof",,,0,"ltr",,"L"
7078,"xh","xho","xho",,"Xhosa",,,,,,0,"ltr",,"L"
7324,"yi","yid","yid",,"Yiddish",,,,,,1,"ltr",,"L"
7481,"za","zha","zha",,"Zhuang",,,,,,1,"ltr",,"L"
7484,"zh","zho","zho",,"Chinese",,,"中文",,,1,"ltr",,"L"
7594,"zu","zul","zul",,"Zulu",,,"isiZulu",,,0,"ltr",,"L"
7595,,,,"zh-Hant","Traditional Chinese",,,,,,0,"ltr",,"L"
7596,,,,"zh-Hans","Simplified Chinese",,,,,,0,"ltr",,"L"
